Problem Name,Difficulty,Patterns,Source Sheets,Link,Acceptance Rate,Tags
Serialize and Deserialize Binary Tree,Hard,tree-dfs; tree-bfs; bit-manipulation,neetcode150; blind75,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,N/A,
Implement Trie (Prefix Tree),Medium,tree-dfs,neetcode150; blind75; grind75,https://leetcode.com/problems/implement-trie-prefix-tree/,N/A,
Design Add and Search Words Data Structure,Medium,tree-dfs; backtracking,neetcode150; blind75,https://leetcode.com/problems/design-add-and-search-words-data-structure/,N/A,
Word Search II,Hard,tree-dfs; backtracking,neetcode150; blind75,https://leetcode.com/problems/word-search-ii/,N/A,
Kth Largest Element in a Stream,Easy,top-k-elements,neetcode150,https://leetcode.com/problems/kth-largest-element-in-a-stream/,N/A,
Last Stone Weight,Easy,array-hashing,neetcode150,https://leetcode.com/problems/last-stone-weight/,N/A,
K Closest Points to Origin,Medium,top-k-elements; bit-manipulation,neetcode150; grind75,https://leetcode.com/problems/k-closest-points-to-origin/,N/A,
Kth Largest Element in an Array,Medium,top-k-elements,neetcode150,https://leetcode.com/problems/kth-largest-element-in-an-array/,N/A,
Task Scheduler,Medium,array-hashing,neetcode150,https://leetcode.com/problems/task-scheduler/,N/A,
Design Twitter,Medium,array-hashing,neetcode150,https://leetcode.com/problems/design-twitter/,N/A,
Find Median from Data Stream,Hard,top-k-elements,neetcode150; blind75,https://leetcode.com/problems/find-median-from-data-stream/,N/A,
Subsets,Medium,backtracking,neetcode150,https://leetcode.com/problems/subsets/,N/A,
Combination Sum,Medium,backtracking,neetcode150; grind75,https://leetcode.com/problems/combination-sum/,N/A,
Permutations,Medium,backtracking,neetcode150; grind75,https://leetcode.com/problems/permutations/,N/A,
Subsets II,Medium,backtracking,neetcode150,https://leetcode.com/problems/subsets-ii/,N/A,
Combination Sum II,Medium,backtracking,neetcode150,https://leetcode.com/problems/combination-sum-ii/,N/A,
Word Search,Medium,backtracking,neetcode150; blind75,https://leetcode.com/problems/word-search/,N/A,
Palindrome Partitioning,Medium,array-hashing,neetcode150,https://leetcode.com/problems/palindrome-partitioning/,N/A,
Letter Combinations of a Phone Number,Medium,backtracking,neetcode150,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,N/A,
N-Queens,Hard,array-hashing,neetcode150,https://leetcode.com/problems/n-queens/,N/A,
Number of Islands,Medium,graph-dfs,neetcode150; blind75; grind75,https://leetcode.com/problems/number-of-islands/,N/A,
Clone Graph,Medium,graph-dfs,neetcode150; blind75; grind75,https://leetcode.com/problems/clone-graph/,N/A,
Max Area of Island,Medium,graph-dfs; bit-manipulation,neetcode150,https://leetcode.com/problems/max-area-of-island/,N/A,
Pacific Atlantic Water Flow,Medium,graph-dfs,neetcode150; blind75,https://leetcode.com/problems/pacific-atlantic-water-flow/,N/A,
Surrounded Regions,Medium,array-hashing,neetcode150,https://leetcode.com/problems/surrounded-regions/,N/A,
Rotting Oranges,Medium,cyclic-sort; merge-intervals; bit-manipulation,neetcode150; grind75,https://leetcode.com/problems/rotting-oranges/,N/A,
Walls and Gates,Medium,backtracking; bit-manipulation,neetcode150,https://leetcode.com/problems/walls-and-gates/,N/A,
Course Schedule,Medium,topological-sort,neetcode150; blind75; grind75,https://leetcode.com/problems/course-schedule/,N/A,
Course Schedule II,Medium,topological-sort,neetcode150,https://leetcode.com/problems/course-schedule-ii/,N/A,
Redundant Connection,Medium,array-hashing,neetcode150,https://leetcode.com/problems/redundant-connection/,N/A,
Number of Connected Components in an Undirected Graph,Medium,union-find,neetcode150; blind75,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,N/A,
Graph Valid Tree,Medium,union-find,neetcode150; blind75,https://leetcode.com/problems/graph-valid-tree/,N/A,
Word Ladder,Hard,bit-manipulation,neetcode150,https://leetcode.com/problems/word-ladder/,N/A,
Reconstruct Itinerary,Hard,array-hashing,neetcode150,https://leetcode.com/problems/reconstruct-itinerary/,N/A,
Min Cost to Connect All Points,Medium,backtracking,neetcode150,https://leetcode.com/problems/min-cost-to-connect-all-points/,N/A,
Network Delay Time,Medium,bit-manipulation,neetcode150,https://leetcode.com/problems/network-delay-time/,N/A,
Swim in Rising Water,Hard,array-hashing,neetcode150,https://leetcode.com/problems/swim-in-rising-water/,N/A,
Alien Dictionary,Hard,array-hashing,neetcode150; blind75,https://leetcode.com/problems/alien-dictionary/,N/A,
Cheapest Flights Within K Stops,Medium,top-k-elements,neetcode150,https://leetcode.com/problems/cheapest-flights-within-k-stops/,N/A,
Climbing Stairs,Easy,dynamic-programming-1d,neetcode150; blind75; grind75,https://leetcode.com/problems/climbing-stairs/,N/A,
Min Cost Climbing Stairs,Easy,dynamic-programming-1d,neetcode150,https://leetcode.com/problems/min-cost-climbing-stairs/,N/A,
House Robber,Medium,dynamic-programming-1d,neetcode150; blind75,https://leetcode.com/problems/house-robber/,N/A,
House Robber II,Medium,dynamic-programming-1d,neetcode150; blind75,https://leetcode.com/problems/house-robber-ii/,N/A,
Longest Palindromic Substring,Medium,sliding-window,neetcode150; blind75,https://leetcode.com/problems/longest-palindromic-substring/,N/A,
Palindromic Substrings,Medium,sliding-window,neetcode150; blind75,https://leetcode.com/problems/palindromic-substrings/,N/A,
Decode Ways,Medium,dynamic-programming-1d,neetcode150; blind75,https://leetcode.com/problems/decode-ways/,N/A,
Coin Change,Medium,dynamic-programming-1d,neetcode150; blind75; grind75,https://leetcode.com/problems/coin-change/,N/A,
Maximum Product Subarray,Medium,dynamic-programming-1d,neetcode150; blind75,https://leetcode.com/problems/maximum-product-subarray/,N/A,
Word Break,Medium,dynamic-programming-1d,neetcode150; blind75,https://leetcode.com/problems/word-break/,N/A,
Longest Increasing Subsequence,Medium,dynamic-programming-1d,neetcode150; blind75,https://leetcode.com/problems/longest-increasing-subsequence/,N/A,
Partition Equal Subset Sum,Medium,backtracking,neetcode150,https://leetcode.com/problems/partition-equal-subset-sum/,N/A,
Unique Paths,Medium,dynamic-programming-2d,neetcode150; blind75; striver-a2z,https://leetcode.com/problems/unique-paths/,N/A,
Longest Common Subsequence,Medium,dynamic-programming-2d,neetcode150; blind75,https://leetcode.com/problems/longest-common-subsequence/,N/A,
Best Time to Buy and Sell Stock with Cooldown,Medium,bit-manipulation,neetcode150,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,N/A,
Coin Change 2,Medium,array-hashing,neetcode150,https://leetcode.com/problems/coin-change-2/,N/A,
Target Sum,Medium,array-hashing,neetcode150,https://leetcode.com/problems/target-sum/,N/A,
Interleaving String,Medium,array-hashing,neetcode150,https://leetcode.com/problems/interleaving-string/,N/A,
Longest Increasing Path in a Matrix,Hard,graph-dfs; dynamic-programming-2d,neetcode150,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,N/A,
Distinct Subsequences,Hard,dynamic-programming-2d,neetcode150,https://leetcode.com/problems/distinct-subsequences/,N/A,
Edit Distance,Medium,array-hashing,neetcode150,https://leetcode.com/problems/edit-distance/,N/A,
Burst Balloons,Hard,backtracking,neetcode150,https://leetcode.com/problems/burst-balloons/,N/A,
Regular Expression Matching,Hard,array-hashing,neetcode150,https://leetcode.com/problems/regular-expression-matching/,N/A,
Maximum Subarray,Medium,dynamic-programming-1d,neetcode150; blind75; striver-a2z,https://leetcode.com/problems/maximum-subarray/,N/A,
Jump Game,Medium,greedy,neetcode150; blind75,https://leetcode.com/problems/jump-game/,N/A,
Jump Game II,Medium,array-hashing,neetcode150,https://leetcode.com/problems/jump-game-ii/,N/A,
Gas Station,Medium,array-hashing,neetcode150,https://leetcode.com/problems/gas-station/,N/A,
Hand of Straights,Medium,bit-manipulation,neetcode150,https://leetcode.com/problems/hand-of-straights/,N/A,
Merge Triplets to Form Target Triplet,Medium,merge-intervals; bit-manipulation,neetcode150,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,N/A,
Partition Labels,Medium,array-hashing,neetcode150,https://leetcode.com/problems/partition-labels/,N/A,
Valid Parenthesis String,Medium,array-hashing,neetcode150,https://leetcode.com/problems/valid-parenthesis-string/,N/A,
Insert Interval,Medium,merge-intervals,neetcode150; blind75; grind75,https://leetcode.com/problems/insert-interval/,N/A,
Merge Intervals,Medium,merge-intervals,neetcode150; blind75; grind75; striver-a2z,https://leetcode.com/problems/merge-intervals/,N/A,
Non-overlapping Intervals,Medium,merge-intervals; greedy,neetcode150; blind75,https://leetcode.com/problems/non-overlapping-intervals/,N/A,
Meeting Rooms,Easy,merge-intervals,neetcode150; blind75,https://leetcode.com/problems/meeting-rooms/,N/A,
Meeting Rooms II,Medium,merge-intervals; top-k-elements,neetcode150; blind75,https://leetcode.com/problems/meeting-rooms-ii/,N/A,
Minimum Interval to Include Each Query,Hard,merge-intervals,neetcode150,https://leetcode.com/problems/minimum-interval-to-include-each-query/,N/A,
Rotate Image,Medium,two-pointers,neetcode150; blind75,https://leetcode.com/problems/rotate-image/,N/A,
Spiral Matrix,Medium,two-pointers,neetcode150; blind75,https://leetcode.com/problems/spiral-matrix/,N/A,
Set Matrix Zeroes,Medium,two-pointers,neetcode150; blind75,https://leetcode.com/problems/set-matrix-zeroes/,N/A,
Happy Number,Easy,array-hashing,neetcode150,https://leetcode.com/problems/happy-number/,N/A,
Plus One,Easy,array-hashing,neetcode150,https://leetcode.com/problems/plus-one/,N/A,
Pow X N,Medium,array-hashing,neetcode150; striver-a2z,https://leetcode.com/problems/pow-x-n/,N/A,
Multiply Strings,Medium,array-hashing,neetcode150,https://leetcode.com/problems/multiply-strings/,N/A,
Detect Squares,Medium,array-hashing,neetcode150,https://leetcode.com/problems/detect-squares/,N/A,
Single Number,Easy,array-hashing,neetcode150,https://leetcode.com/problems/single-number/,N/A,
Number of 1 Bits,Easy,bit-manipulation,neetcode150; blind75,https://leetcode.com/problems/number-of-1-bits/,N/A,
Counting Bits,Easy,bit-manipulation; dynamic-programming-1d,neetcode150; blind75,https://leetcode.com/problems/counting-bits/,N/A,
Reverse Bits,Easy,bit-manipulation,neetcode150; blind75,https://leetcode.com/problems/reverse-bits/,N/A,
Missing Number,Easy,bit-manipulation; cyclic-sort,neetcode150; blind75; striver-a2z,https://leetcode.com/problems/missing-number/,N/A,
Sum of Two Integers,Medium,bit-manipulation,neetcode150; blind75,https://leetcode.com/problems/sum-of-two-integers/,N/A,
Reverse Integer,Medium,linked-list-reversal,neetcode150,https://leetcode.com/problems/reverse-integer/,N/A,
Combination Sum IV,Medium,backtracking,blind75,https://leetcode.com/problems/combination-sum-iv/,N/A,
Find Users with Persistent Behavior Patterns,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/find-users-with-persistent-behavior-patterns/,63.7%,
Longest Almost-Palindromic Substring,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/longest-almost-palindromic-substring/,18.1%,
First Element with Unique Frequency,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/first-element-with-unique-frequency/,68.6%,
Weighted Word Mapping,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/weighted-word-mapping/,84.3%,
Count Dominant Indices,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/count-dominant-indices/,65.5%,
Merge Adjacent Equal Elements,Medium,merge-intervals,leetcode-top-150,https://leetcode.com/problems/merge-adjacent-equal-elements/,41.6%,
Toggle Light Bulbs,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/toggle-light-bulbs/,71.9%,
Count Subarrays With Cost Less Than or Equal to K,Medium,sliding-window; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/count-subarrays-with-cost-less-than-or-equal-to-k/,45.1%,
Palindromic Path Queries in a Tree,Hard,tree-dfs; tree-bfs; graph-dfs,leetcode-top-150,https://leetcode.com/problems/palindromic-path-queries-in-a-tree/,32%,
Find Emotionally Consistent Users,Medium,backtracking,leetcode-top-150,https://leetcode.com/problems/find-emotionally-consistent-users/,52.1%,
Maximum Subarray XOR with Bounded Range,Hard,sliding-window; cyclic-sort; merge-intervals; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-subarray-xor-with-bounded-range/,25.5%,
Maximum Score Using Exactly K Pairs,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-score-using-exactly-k-pairs/,41.3%,
Reverse Letters Then Special Characters in a String,Easy,linked-list-reversal,leetcode-top-150,https://leetcode.com/problems/reverse-letters-then-special-characters-in-a-string/,81.4%,
Minimum Prefix Removal to Make Array Strictly Increasing,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-prefix-removal-to-make-array-strictly-increasing/,73.6%,
Longest Alternating Subarray After Removing At Most One Element,Hard,sliding-window,leetcode-top-150,https://leetcode.com/problems/longest-alternating-subarray-after-removing-at-most-one-element/,30%,
Find Users with High Token Usage,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/find-users-with-high-token-usage/,58.5%,
Count Monobit Integers,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/count-monobit-integers/,65.9%,
Minimum Operations to Reach Target Array,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-operations-to-reach-target-array/,63.1%,
Find Nth Smallest Integer With K One Bits,Hard,backtracking; top-k-elements; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/find-nth-smallest-integer-with-k-one-bits/,33.8%,
Best Reachable Tower,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/best-reachable-tower/,55.6%,
Count Residue Prefixes,Easy,array-hashing,leetcode-top-150,https://leetcode.com/problems/count-residue-prefixes/,65.3%,
Count Caesar Cipher Pairs,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/count-caesar-cipher-pairs/,50.8%,
Minimum Edge Toggles on a Tree,Hard,tree-dfs; tree-bfs,leetcode-top-150,https://leetcode.com/problems/minimum-edge-toggles-on-a-tree/,68.7%,
Pythagorean Distance Nodes in a Tree,Medium,tree-dfs; tree-bfs; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/pythagorean-distance-nodes-in-a-tree/,57.6%,
Largest Even Number,Easy,top-k-elements,leetcode-top-150,https://leetcode.com/problems/largest-even-number/,69.2%,
Vowel-Consonant Score,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/vowel-consonant-score/,54.1%,
Reverse String Prefix,Easy,linked-list-reversal,leetcode-top-150,https://leetcode.com/problems/reverse-string-prefix/,89.4%,
Minimum K to Reduce Array Within Limit,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-k-to-reduce-array-within-limit/,41.2%,
Smallest All-Ones Multiple,Medium,backtracking; top-k-elements,leetcode-top-150,https://leetcode.com/problems/smallest-all-ones-multiple/,46.8%,
Maximum Score of a Split,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-score-of-a-split/,51.5%,
Rotate Non Negative Elements,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/rotate-non-negative-elements/,47.7%,
Most Common Course Pairs,Hard,topological-sort,leetcode-top-150,https://leetcode.com/problems/most-common-course-pairs/,52.3%,
Mirror Distance of an Integer,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/mirror-distance-of-an-integer/,87.4%,
Last Remaining Integer After Alternating Deletion Operations,Hard,array-hashing,leetcode-top-150,https://leetcode.com/problems/last-remaining-integer-after-alternating-deletion-operations/,48.5%,
Minimum Number of Operations to Have Distinct Elements,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-number-of-operations-to-have-distinct-elements/,42%,
Maximum Sum of Three Numbers Divisible by Three,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/maximum-sum-of-three-numbers-divisible-by-three/,47.7%,
Absolute Difference Between Maximum and Minimum K Elements,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/absolute-difference-between-maximum-and-minimum-k-elements/,75.3%,
Reverse Words With Same Vowel Count,Medium,linked-list-reversal; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/reverse-words-with-same-vowel-count/,66.5%,
Minimum Cost to Make Two Binary Strings Equal,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-cost-to-make-two-binary-strings-equal/,38.5%,
Maximum Bitwise AND After Increment Operations,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-bitwise-and-after-increment-operations/,30.7%,
Count Routes to Climb a Rectangular Grid,Hard,dynamic-programming-1d; dynamic-programming-2d,leetcode-top-150,https://leetcode.com/problems/count-routes-to-climb-a-rectangular-grid/,23.5%,
Minimum Subarray Length With Distinct Sum At Least K,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/minimum-subarray-length-with-distinct-sum-at-least-k/,31.5%,
Maximum Subgraph Score in a Tree,Hard,tree-dfs; tree-bfs; graph-dfs; graph-bfs; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-subgraph-score-in-a-tree/,70.5%,
Sort Integers by Binary Reflection,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/sort-integers-by-binary-reflection/,60.7%,
Minimum Cost to Acquire Required Items,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-cost-to-acquire-required-items/,34.7%,
Total Score of Dungeon Runs,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/total-score-of-dungeon-runs/,30.3%,
Minimum Inversion Count in Subarrays of Fixed Length,Hard,sliding-window,leetcode-top-150,https://leetcode.com/problems/minimum-inversion-count-in-subarrays-of-fixed-length/,42.4%,
Minimum Cost to Merge Sorted Lists,Hard,binary-search; merge-intervals; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-cost-to-merge-sorted-lists/,33.6%,
Number of Alternating XOR Partitions,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/number-of-alternating-xor-partitions/,26.5%,
Count Elements With at Least K Greater Values,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/count-elements-with-at-least-k-greater-values/,31.1%,
Minimum Absolute Distance Between Mirror Pairs,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-absolute-distance-between-mirror-pairs/,44.2%,
Minimum Deletion Cost to Make All Characters Equal,Medium,backtracking,leetcode-top-150,https://leetcode.com/problems/minimum-deletion-cost-to-make-all-characters-equal/,54.9%,
Number of Prefix Connected Groups,Medium,graph-dfs,leetcode-top-150,https://leetcode.com/problems/number-of-prefix-connected-groups/,60.7%,
Concatenate Non-Zero Digits and Multiply by Sum II,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-ii/,24%,
Concatenate Non-Zero Digits and Multiply by Sum I,Easy,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-i/,55.7%,
Number of Effective Subsequences,Hard,dynamic-programming-2d,leetcode-top-150,https://leetcode.com/problems/number-of-effective-subsequences/,30.3%,
Maximum Score After Binary Swaps,Medium,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/maximum-score-after-binary-swaps/,34.9%,
Number of Centered Subarrays,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/number-of-centered-subarrays/,66.8%,
Total Waviness of Numbers in Range II,Hard,cyclic-sort; merge-intervals,leetcode-top-150,https://leetcode.com/problems/total-waviness-of-numbers-in-range-ii/,24.9%,
Minimum Number of Flips to Reverse Binary String,Easy,linked-list-reversal; bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-number-of-flips-to-reverse-binary-string/,75.7%,
Final Element After Subarray Deletions,Medium,sliding-window,leetcode-top-150,https://leetcode.com/problems/final-element-after-subarray-deletions/,39.7%,
Minimum Partition Score,Hard,bit-manipulation,leetcode-top-150,https://leetcode.com/problems/minimum-partition-score/,33.8%,
Minimum Distance Between Three Equal Elements II,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/minimum-distance-between-three-equal-elements-ii/,65.2%,
Design Ride Sharing System,Medium,array-hashing,leetcode-top-150,https://leetcode.com/problems/design-ride-sharing-system/,63.2%,
